ki,circle,fig8,gust
0,0.20157721719433558,0.210662159669797,0.2734855634605423
1,0.09914893035800323,0.11463591028042754,0.2142013708777449
2,0.07238896785634534,0.09733381621794132,0.21203227128501798
4,0.05835653584683285,0.09968418321930447,0.2218934517669809
8,0.0493174843698488,0.12880292311278196,0.2730115482318275
16,0.1738019683923805,0.4519662085221645,0.8042955642073608
