arm,circle,circle_se,fig8,fig8_se,gust,gust_se,Ju_fig8
PD only,0.20157721719433558,0.00043078509221494736,0.210662159669797,0.0004189980441303626,0.2734855634605423,0.0002810189891301496,18.060605657376346
PD + I (ki=2),0.07238896785634534,0.001047106340366533,0.09733381621794132,0.0016337354294809763,0.21203227128501798,0.0009478609291879424,18.263550045542218
PD + I (tuned),0.0493174843698488,0.0003301049045687903,0.09733381621794132,0.0016337354294809763,0.21203227128501798,0.0009478609291879424,18.263550045542218
PD + residual,0.02328768179199311,0.0004959898714736226,0.09936981276031158,0.00045208705014491166,0.17812417696530028,0.0013868808015409422,18.586235987230577
PD + I + residual,0.030187219647921648,0.0007335639718739314,0.11621991439481742,0.0004353082153717297,0.19980103317338072,0.001691923616445689,18.718930403234307
