rho,rmse,se,n
0.0,0.3745725340831014,0.012819326419429171,6
0.25,0.37576940537282216,0.008529264353100903,12
0.5,0.39036933675426466,0.00849338587734994,12
0.75,0.5073641578992547,0.06782906284535577,11
1.0,0.46857400052320286,0.011058848309760862,12
