arm,circle,circle_se,fig8,fig8_se,gust,gust_se
PD + I (tuned),0.344973866965078,0.015210898872169188,0.34687681498321216,0.012715855570758756,0.38631190379717983,0.020800003839781773
PD + residual,0.26921744182905444,0.009267085354290184,0.2954924789256167,0.008764444319455418,0.30845489563029443,0.009055182350079254
PD + I + residual,0.2728208677274501,0.008597560153871486,0.30057014398623016,0.008309705577600001,0.32517207268552706,0.011436755925299281
